referencia,tipo_evidencia,dominio_ou_escopo,achado_principal_utilizado,limite_critico,implicacao_historica_nao_normativa,estado_acesso_historico
"Ainsworth, S. (2006). DeFT: A conceptual framework for learning with multiple representations. Learning and Instruction, 16(3), 183-198. DOI 10.1016/j.learninstruc.2006.03.001","framework conceitual","múltiplas representações externas","Benefícios dependem dos parâmetros de desenho, das funções atendidas e das tarefas do estudante; coordenar representações também produz demanda cognitiva.","Não é estimativa de efetividade nem prescrição de arquitetura de software.","Selecionar representações por função e tarefa; quantidade de tipos de recurso não é critério de qualidade por si só.","framework integral ou cópia pública do autor localizada"
"Rexigel et al. (2024). The More the Better? A Systematic Review and Meta-Analysis of the Benefits of More than Two External Representations in STEM Education. DOI 10.1007/s10648-024-09958-y","revisão sistemática e meta-análise","múltiplas representações em STEM","Mais de duas representações podem apoiar desempenho em algumas condições sem necessariamente aumentar o tempo, com moderação por suporte, redundância e configuração representacional.","A comparação não valida plataforma específica nem implica que maximizar a quantidade de representações seja ótimo.","Investigar coordenação, scaffolding e redundância em vez de tratar variedade como benefício intrínseco.","resumo aberto e página do artigo verificados"
"Ma, W.; Adesope, O. O.; Nesbit, J. C.; Liu, Q. (2014). Intelligent Tutoring Systems and Learning Outcomes: A Meta-Analysis. DOI 10.1037/a0037123","meta-análise","sistemas tutores inteligentes em múltiplos domínios","ITS superaram em média várias condições não ITS; diferenças para tutoria humana individual e instrução em pequenos grupos não foram significativas na síntese relatada.","ITS é categoria heterogênea e os efeitos dependem do comparador e do alinhamento dos resultados.","Não atribuir ao ARA identidade ou efeito de ITS apenas por possuir interatividade; modelagem do estudante e adaptação exigem contratos e avaliação explícitos.","registro ERIC e manuscrito do autor localizados"
"Kulik, J. A.; Fletcher, J. D. (2016). Effectiveness of Intelligent Tutoring Systems: A Meta-Analytic Review. DOI 10.3102/0034654315581420","revisão meta-analítica","sistemas tutores inteligentes","Efeitos medianos foram positivos, mas resultados variaram substancialmente entre medidas alinhadas localmente e medidas padronizadas.","Alinhamento do resultado pode inflar efetividade aparente e os sistemas variam amplamente.","Protocolos de pesquisa devem separar medidas de transferência próxima de medidas independentes ou padronizadas.","manuscrito do autor ou resumo localizado"
"Dermeval, D.; Paiva, R.; Bittencourt, I. I.; Vassileva, J.; Borges, D. (2018). Authoring Tools for Designing Intelligent Tutoring Systems: a Systematic Review of the Literature. DOI 10.1007/s40593-017-0157-9","revisão sistemática da literatura","ferramentas de autoria para ITS","Ferramentas de autoria se concentram principalmente em modelos de domínio e pedagógicos; benefícios para autoria sem programação aparecem em um conjunto tecnicamente diverso.","Somente 33 estudos; evidência sobre produtividade e qualidade de autoria em uso real permanece heterogênea.","Tratar modelos de autoria como objeto de investigação e testar se especialistas de domínio conseguem produzir conteúdo sem programação.","artigo aberto e registro ERIC verificados"
"Chernikova, O. et al. (2020). Simulation-Based Learning in Higher Education: A Meta-Analysis. DOI 10.3102/0034654320933544","meta-análise","aprendizagem baseada em simulação e habilidades complexas","Simulações podem apoiar aprendizagem de habilidades complexas, com tipo de scaffolding e tecnologia entre dimensões relevantes do desenho.","Estudos e tarefas de simulação são heterogêneos; animação interativa não é automaticamente simulação.","Uma capacidade de simulação precisa representar variáveis do modelo, decisões do estudante, apoio e sondas de resultado, não apenas renderização visual.","texto integral aberto localizado"
"de Jong, T.; Linn, M. C.; Zacharia, Z. C. (2013). Physical and Virtual Laboratories in Science and Engineering Education. DOI 10.1126/science.1230579","revisão de pesquisa","laboratórios de ciências e engenharia","Investigações físicas e virtuais têm affordances distintas e potencialmente complementares.","Revisão seletiva e breve; não justifica substituir toda prática física por ambiente virtual.","Componentes de laboratório virtual devem declarar fenômenos e práticas representados e o que permanece fora do ambiente.","resumo e registro institucional verificados"
"Çeken, B.; Taşkın, N. (2022). Multimedia learning principles in different learning environments: a systematic review. DOI 10.1186/s40561-022-00200-2","revisão sistemática","princípios de aprendizagem multimídia","Princípios multimídia dependem do contexto e foram estudados em diferentes ambientes de aprendizagem.","Multimídia cobre desenhos variados e não implica necessidade de vídeo.","Coordenar representações verbais e gráficas quando pertinente sem deduzir formato obrigatório de mídia.","texto integral aberto verificado"
"Alhadi, M.; Zhang, D.; Wang, T.; Maher, C. A. (2023). Digitalized Interactive Components in Computer-Based Assessment in Mathematics for K-12 Students. DOI 10.1080/07380569.2022.2116622","síntese de pesquisa","avaliação matemática interativa no ensino básico","A literatura pequena inclui assistência linguística e suporte à construção de respostas, não apenas respostas selecionadas convencionais.","Somente dez estudos; populações e construtos representados de forma desigual.","Investigar construção e suportes de acessibilidade como características do desenho de avaliação, não apenas de interface.","resumo institucional e registro bibliográfico verificados"
"Tang, X.; Yin, Y.; Lin, Q.; Hadad, R.; Zhai, X. (2020). Assessing computational thinking: A systematic review of empirical studies. DOI 10.1016/j.compedu.2019.103798","revisão sistemática","avaliação de pensamento computacional","Formas de avaliação incluem tarefas de programação, avaliações tradicionais, portfólios e questionários de disposições; evidência de validade é desigual.","Pensamento computacional é construto contestado e diferentes medidas cobrem construtos diferentes.","Não inferir um construto único de pensamento computacional a partir de eventos de execução; tarefas e evidências precisam de definições de construto.","resumo do editor verificado"
"Messer, M.; Brown, N. C. C.; Kölling, M.; Shi, M. (2023). Automated Grading and Feedback Tools for Programming Education: A Systematic Review. arXiv:2306.11722","preprint de revisão sistemática","avaliação e feedback em programação","Testes unitários e análise estática predominam; feedback é frequentemente limitado a aprovação ou reprovação, saída esperada ou observada ou diferença para solução de referência.","Preprint e métodos de avaliação heterogêneos; corpus amplo de ferramentas não demonstra efeitos de aprendizagem.","Separar execução, correção, diagnóstico e feedback pedagógico; avaliar qualidade de código separadamente da correção funcional.","preprint público localizado"
"Gao, R.; Merzdorf, H. E.; Anwar, S.; Hipwell, M. C.; Srinivasa, A. (2023). Automatic assessment of text-based responses in post-secondary education: A systematic review. arXiv:2308.16151","preprint de revisão sistemática","avaliação automática de respostas abertas","Avaliação automática de texto abrange múltiplos modelos, entradas e resultados e pode apoiar feedback rápido em escala.","Acurácia, validade, transparência e transferência de domínio permanecem variáveis; pontuação por modelo não é equivalência determinística.","Separar assistência probabilística de avaliação autoritativa e articulá-la com rubricas, proveniência e revisão humana quando aplicável.","preprint público localizado"
"Buitrago, M.; Chiappe, A. (2019). Representation of Knowledge in Digital Educational Environments: A Systematic Review of Literature. Australasian Journal of Educational Technology, 35(4), 46-62","revisão sistemática da literatura","representação do conhecimento em ambientes educacionais digitais","Sistemas de representação do conhecimento atendem finalidades cognitivas e metacognitivas variadas e empregam diferentes instrumentos.","Campo amplo; a revisão não fornece ontologia de software pronta.","Ampliar a investigação de representação do conhecimento além de flashcards e widgets multimídia sem transformar a revisão em ontologia de produto.","registro ERIC verificado"
"Permatasari, M. B.; Rahayu, S.; Dasna, I. W. (2022). Chemistry Learning Using Multiple Representations: A Systematic Literature Review. Journal of Science Learning, 5(2), 334-341","revisão sistemática da literatura","múltiplas representações em química","Aprendizagem de química exige coordenação entre representações macroscópicas, submicroscópicas e simbólicas.","Somente onze artigos; qualidade e detalhes da revisão exigem apreciação em texto integral.","Uma equação química é apenas uma gramática; futuras capacidades de química devem investigar coordenação entre níveis quando o objetivo exigir.","registro ERIC verificado"
"Fagerlund, J.; Häkkinen, P.; Vesisenaho, M.; Viiri, J. (2021). Computational thinking in programming with Scratch in primary schools: A systematic review. DOI 10.1002/cae.22255","revisão sistemática","programação por blocos e pensamento computacional no ensino fundamental","Atividades de programação por blocos apoiam diferentes práticas de pensamento computacional, mas definições e avaliações variam.","Foco em ensino fundamental e Scratch limita transferência para toda programação e contextos profissionais.","Construção por blocos pode ser precedente de interação, não pedagogia ou modelo de avaliação universal.","texto integral aberto verificado"
"Shute, V. J. (2008). Focus on Formative Feedback. DOI 10.3102/0034654307313795","revisão de pesquisa","feedback formativo","Efetividade do feedback depende de tarefa, conteúdo, timing e condições do estudante; feedback mais informativo frequentemente supera verificação simples.","Revisão ampla com intervenções heterogêneas; princípios não são defaults diretos de produto.","Manter resultado do validador, conteúdo do feedback e momento do feedback como camadas configuráveis distintas.","referência previamente verificada no projeto"
