id,referencia,ano,tipo,estado_acesso,uso_ou_escopo,limite_preservado
SEED01,"Aromataris et al. (eds.). JBI Manual for Evidence Synthesis",2024,"manual metodológico institucional","texto online verificado","orientação para métodos de síntese e revisões de escopo","referência metodológica histórica; versão e aplicabilidade devem ser revalidadas antes de protocolo acadêmico formal"
SEED02,"Peters et al. Scoping Reviews. DOI 10.46658/JBIMES-24-09",2024,"orientação metodológica institucional","texto online verificado","PCC, protocolo, busca, extração e apresentação em revisão de escopo","referência metodológica histórica, não protocolo vigente por si só"
SEED03,"Tricco et al. PRISMA extension for scoping reviews (PRISMA-ScR). DOI 10.7326/M18-0850",2018,"guia de relato","página oficial e referência verificadas","relato transparente de futura revisão de escopo formal","guia de relato; não substitui método de condução"
SEED04,"Barrison et al. Electronic Flashcards in Health Professions Education: A Scoping Review. DOI 10.1097/ACM.0000000000005968",2025,"revisão de escopo","resumo e metadados verificados; extração integral então pendente","desenvolvimento, entrega, utilização e resultados associados a flashcards eletrônicos em profissões da saúde","concentração em saúde e descrição insuficiente de decisões de design em parte da literatura"
SEED05,"Odo. The Effect of Digital Flashcard Applications on L2 Vocabulary Learning: A Quantitative Meta-analysis. DOI 10.15812/ter.63.3.202409.317",2024,"meta-análise quantitativa","resumo e metadados verificados; texto completo então pendente","47 estudos e 3.869 participantes sobre aplicações de flashcards digitais e vocabulário em segunda língua","evidência de domínio linguístico não deve ser generalizada automaticamente para outras áreas"
SEED06,"Webb, Yanagisawa e Uchihara. How Effective Are Intentional Vocabulary-Learning Activities? A Meta-Analysis. DOI 10.1111/modl.12671",2020,"meta-análise","resumo verificado; texto completo então pendente de extração","comparação de flashcards, listas de palavras, escrita e preenchimento de lacunas em aprendizagem intencional de vocabulário","resultados dependem do domínio linguístico e dos formatos de atividade e teste"
SEED07,"Teymouri. Recent developments in mobile-assisted vocabulary learning: a mini review focusing on digital flashcards. DOI 10.3389/feduc.2024.1496578",2024,"mini-revisão narrativa","texto completo aberto verificado preliminarmente; extração detalhada então pendente","aprendizagem móvel de vocabulário, autonomia, retenção, repetição espaçada, gamificação e lacunas","mapa narrativo; não equivalente a revisão sistemática"
SEED08,"Agarwal, Nunes e Blunt. Retrieval Practice Consistently Benefits Student Learning. DOI 10.1007/s10648-021-09595-9",2021,"revisão sistemática","resumo e página do periódico verificados; extração aprofundada ocorreu depois","prática de recuperação aplicada em escolas e salas de aula","não determina formato universal de prática e possui limitação geográfica relevante"
SEED09,"Ingebrigtsen e Miland. Effective, Scalable, and Low Cost: The Use of Teacher-Made Digital Flashcards Improves Student Learning. DOI 10.1002/acp.70086",2025,"quase-experimento multicampi","texto completo aberto localizado; extração detalhada então pendente","799 estudantes de enfermagem em 19 campi, adesão real, autoria docente e desempenho","associação entre uso e desempenho não elimina seleção voluntária e outros confundidores"
SEED10,"Reddy, Labutov, Banerjee e Joachims. Unbounded Human Learning: Optimal Scheduling for Spaced Repetition. arXiv:1602.07032",2016,"modelagem e experimento computacional/comportamental","preprint aberto localizado; revisão por pares e versão final então a verificar","formalização de agendamento e relação entre introdução de itens e revisão","modelo técnico e empírico não autoriza seleção de algoritmo de agendamento"
SEED11,"Choffin, Popineau, Bourda e Vie. DAS3H: Modeling Student Learning and Forgetting for Optimally Scheduling Distributed Practice of Skills. arXiv:1905.06873",2019,"modelo de aprendizagem e esquecimento","preprint aberto localizado; versão publicada e detalhes de avaliação então a verificar","agendamento com múltiplas habilidades, esquecimento e relações item-habilidade","modelo não deve ser promovido a scheduler, learner model ou requisito sem avaliação específica"
