id,publicacao,grupo_metodologico,corpus_ou_amostra,resultado_quantitativo_ou_achado,limite_principal
PA01,"Xu et al. (2024)","síntese formal","número final de estudos não disponível no resumo acessível","resultados promissores para flashcards, prática de recuperação e mapas conceituais no ensino superior","texto integral e lista de estudos não recuperados; associação e causalidade não podem ser separadas adequadamente a partir do resumo"
PA02,"Özdemir e Seçkin (2024)","síntese formal","23 estudos declarados; 22 referências identificáveis na auditoria bibliográfica","vocabulário g=0,628 IC95% 0,370-0,885 I2=82,3%; retenção g=0,743 IC95% 0,241-1,245 I2=80,9%; atitude g=0,377 IC95% 0,029-0,725 com 2 estudos","heterogeneidade elevada e intervenção Quizlet não homogênea"
PA03,"Trumble et al. (2024)","síntese formal","56 artigos; 63 experimentos","43 experimentos relataram vantagem estatisticamente significativa; MERSQI médio 12,23/18; NOS-E médio 4,55/6","não há estimativa agregada; intervenções, comparadores, resultados e atrasos variam"
PA04,"Van Hoof et al. (2023)","síntese formal","25 estudos de enfermagem, quase todos em formação pré-licenciatura","a revisão mapeia expansão do uso de prática de recuperação e falhas de documentação e terminologia","revisão de escopo; não deve ser usada como estimativa de eficácia"
PA05,"Frappa et al. (2026)","síntese formal","11 estudos sobre Anki em graduação médica","3 estudos mostraram associação consistente com USMLE Step 1; diferenças de 4 a 13 pontos em alguns estudos; Step 2 CK sem benefício significativo no único estudo","evidência predominantemente observacional, com autoseleção e definições heterogêneas de uso"
PA06,"Thompson e Hughes (2023)","síntese formal","8 ensaios randomizados ou quase randomizados: 2 de espaçamento, 2 de intercalação e 6 de recuperação, com sobreposição entre categorias","5 estudos relataram diferença significativa em ao menos uma avaliação imediata ou tardia","base pequena, específica de radiologia e sem efeito agregado"
PA07,"Maye e Hurley (2026)","síntese formal","14 estudos; 13 na meta-análise; 21.415 participantes","SMD=0,78 IC95% 0,56-0,99 favorecendo repetição espaçada em testes objetivos de conhecimento","categoria reúne flashcards, MCQs por e-mail, educação continuada e quizzes em sala; não valida um algoritmo ou produto"
PA08,"Pan e Rickard (2018)","síntese formal","192 efeitos; 122 experimentos; 67 relatos; N=10.382","d=0,40 IC95% 0,31-0,50 para transferência versus reexposição","transferência depende de congruência de resposta, elaboração e sucesso inicial; não é universal"
PA09,"Öcel e Su-Bergil (2025)","síntese formal","25 estudos recentes sobre Quizlet e vocabulário","síntese descritiva geralmente positiva para expansão lexical, retenção, motivação e atitudes","sem efeito combinado; recorte temporal e de bases estreito; risco de sobreposição com a meta-análise de 2024"
PA10,"Agarwal, Nunes e Blunt (2021)","síntese formal","50 experimentos; 49 efeitos; N=5.374","57% dos efeitos foram médios ou grandes","apenas 6% dos experimentos ocorreram fora de países WEIRD; não há efeito único que defina um formato universal"
PA11,"Murray, Horner e Göbel (2025)","síntese formal","spacing: 27 estudos e 53 efeitos; retrieval: 7 estudos e 32 efeitos","spacing g=0,28; materiais ensinados isoladamente g=0,43 e cursos g=0,24; retrieval g=0,18 com IC atravessando zero","evidência de retrieval é pequena e menos robusta; não sustenta generalização universal"
PA12,"Cadavid et al. (2025)","síntese formal","75 artigos experimentais com participantes de 2 a 18 anos; prática de testagem em 23 estudos e 44 experimentos","benefícios gerais em múltiplas técnicas de memória","grande parte do corpus é laboratorial; transferência para currículo e escola permanece limitada"
PA13,"Binks (2018)","revisão narrativa ou estado da arte","não aplicável como corpus quantitativo independente","síntese histórica recomenda produção de resposta, repetição espaçada e feedback","não fornece efeito combinado nem avaliação sistemática de risco de viés"
PA14,"Serra et al. (2025)","revisão narrativa ou estado da arte","não aplicável como corpus quantitativo independente","descreve evolução, adoção, relação com exames, recursos de terceiros e barreiras à prática de recuperação em saúde","serve para implementação e história, não como nova estimativa independente de efeito"
PA15,"Nguyen (2021)","revisão narrativa ou estado da arte","não informado no registro acessível","revisão narrativa sobre Anki em vocabulário","seleção de evidência insuficientemente documentada no material acessível"
PA16,"Carpenter (2023)","revisão narrativa ou estado da arte","não aplicável como estimativa de aprendizagem","intervenções multifacetadas, redução de esforço e erros e feedback pessoal sobre benefícios aparecem como caminhos mais promissores para adoção autodirigida de retrieval practice","desfecho principal é adoção, não eficácia cognitiva"
PA17,"Mulligan, Buchin e Powers (2023)","estudo empírico ou avaliação de produto","3 experimentos e pequena meta-análise interna","d=-0,37 para prejuízo em uma tarefa estreita de inferência transitiva após recuperação","condição de fronteira específica; não representa síntese do campo"
PA18,"Mishall, Burton e Risley (2023)","estudo empírico ou avaliação de produto","dados de uso do Quizlet em histologia","preferência registrada pela modalidade Flashcards","preferência de uso não demonstra aprendizagem"
PA19,"Rad Path in a Flash (2024)","estudo empírico ou avaliação de produto","desenvolvimento de deck institucional e surveys","aumento de confiança e aceitação percebida","não houve medida causal de aprendizagem"
PA20,"Zeitlin e Sadhak (2023)","estudo empírico ou avaliação de produto","51 estudantes de odontologia","boa aceitação e facilidade de uso do Quizlet","resultados de usabilidade e percepção não equivalem a retenção ou transferência"
PA21,"Azhar (2023)","estudo empírico ou avaliação de produto","comparação especializada de 3 decks de dermatologia","evidência útil sobre granularidade, atualização, tags, formatos e custo","comparação de produto não demonstra eficácia educacional"
PA22,"Pitt e Huebner (2025)","estudo empírico ou avaliação de produto","88 estudantes; 160 itens","2 ou 3 MCQs de revisão superaram uma pergunta aberta em prova final de múltipla escolha; saturação após 2 questões","congruência entre formato de prática e formato da prova limita a generalização"
PA23,"Pilotti, Chodorow e Petrov (2009)","estudo empírico ou avaliação de produto","não informado no resumo consolidado","recuperação e revisão de pergunta-resposta melhoraram desempenho em questões conceitualmente relacionadas","o resumo não sustenta superioridade exclusiva da recuperação"
PA24,"Hausman e Rhodes (2018)","estudo empírico ou avaliação de produto","3 experimentos","pequena ativação adicional de mediadores após recuperação","não houve relação confiável com acessibilidade do alvo"
PA25,"Leggett, Burt e Carroll (2019)","estudo empírico ou avaliação de produto","estudantes do 9º ano","benefício de recuperação com feedback mesmo quando o desempenho durante a prática era baixo; pistas puderam tornar a recuperação mais viável","resultado condicionado por apoio e contexto; não define política universal de pistas"
PA26,"What Works Clearinghouse (2011) sobre Karpicke e Blunt","avaliação secundária de evidência","avaliação de uma publicação primária já existente","médias reportadas: recuperação 67%, estudo único 27%, estudo repetido 49%, mapa conceitual 45%; avaliação classificada como atendendo aos padrões sem reservas","não é estudo independente; críticas posteriores questionam equivalência das condições e memorização adicional na condição de recuperação"
